Library,Symbol,Value,Description,Footprint,Datasheet
Oscillator,MV317,MV317,"60, 80, 100, 120 & 122.76 MHz OCXO, Morion MV317",Oscillator:Oscillator_OCXO_Morion_MV317,https://www.morion-us.com/catalog_pdf/mv317.pdf
Amplifier_Buffer,LM6321H,LM6321H,"High Speed Buffer, TO-5-8",Package_TO_SOT_THT:TO-5-8,http://www.electronica60norte.com/mwfls/pdf/LM6221.pdf
Interface_LineDriver,UA9638CP,UA9638CP,"Dual high-speed differential line driver, DIP-8",Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/ua9638.pdf
Regulator_Linear,MIC5317-3.3xM5,MIC5317-3.3xM5,"150mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 6V, SOT23-5",Package_TO_SOT_SMD:SOT-23-5,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC5317-High-Performance-Single-150mA-LDO-DS20006195B.pdf
Analog_DAC,MAX5138,MAX5138,"Low-Power, Single, 16-Bit, Buffered Voltage-Output DAC",Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,https://datasheets.maximintegrated.com/en/ds/MAX5138-MAX5139.pdf
Amplifier_Operational,TSV991AIQ1T,TSV991AIQ1T,"20MHz GBW, RRIO, 2.5..5.5V supply, 820uA single OpAmp, DFN-6",Package_DFN_QFN:DFN-6_1.6x1.3mm_P0.4mm,www.st.com/resource/en/datasheet/tsv991.pdf
Amplifier_Operational,ADA4099-2xCP,ADA4099-2xCP,"3.15..50V supply, 8MHz GBW, Rail-to-Rail input/output, over-the-top dual opamp with shutdown, LFCSP-10",Package_CSP:LFCSP-WD-10-1EP_3x3mm_P0.5mm_EP1.64x2.38mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ada4099-1_ada4099-2.pdf
Amplifier_Operational,OPA2994xD,OPA2994xD,"Dual Opamp, Rail-to-Rail Input/Output, Unlimited Capacitive Load Drive, 125mA Output Current, 2-32V, 350uV offset, 24MHz GBW, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.ti.com/lit/ds/symlink/opa2994.pdf
Regulator_Switching,NBM7100A,NBM7100A,coin cell booster charge pump DHVQFN16 SOT763,Package_DFN_QFN:DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,https://assets.nexperia.com/documents/data-sheet/NBM7100.pdf
Regulator_SwitchedCapacitor,LTC1502xS8-3.3,LTC1502xS8-3.3,"Single Alkaline / NiCd Cell to 3.3V Regulated Charge Pump DC/DC Converter, 0.9..1.8V input, 10mA output, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.analog.com/media/en/technical-documentation/data-sheets/15023f.pdf
Analog,LF398_DIP8,LF398_DIP8,"Sample And Hold Unity Gain Follower, DIP-8",Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/lf398-n.pdf
Analog,LF398_SOIC8,LF398_SOIC8,"Sample And Hold Unity Gain Follower, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.analog.com/media/en/technical-documentation/data-sheets/lt0398s8.pdf
